sampler,seed,d,K,hall_gt,model,arch,n_per_mode,n_anchors,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
ddim,0,8,8,0.0125,polar8,polar,100000,1200000,0.8242,0.8242,0.8573,0.1103,0.8262,0.1946,0.5094
ddim,0,8,8,0.0125,polar8_cal,polar,100000,1200000,0.8199,0.8198,0.8559,0.1030,0.8302,0.1833,0.5015
ddim,0,8,16,0.0132,knn,knn,20000,480000,0.5987,0.6001,0.6120,0.0670,0.4918,0.1179,0.3590
ddim,0,8,16,0.0132,altered_knn,altered_knn,20000,320000,0.6165,0.6198,0.6660,0.0254,0.3645,0.0476,0.3337
ddim,0,8,16,0.0132,quadratic,quadratic,20000,480000,0.7567,0.7584,0.7523,0.1700,0.6222,0.2670,0.5127
ddim,0,8,16,0.0132,quadratic_cal,quadratic,20000,480000,0.7538,0.7553,0.7512,0.1586,0.6386,0.2541,0.5047
ddim,0,8,16,0.0132,polar8,polar,20000,480000,0.7785,0.7806,0.7780,0.1544,0.6203,0.2473,0.5140
ddim,0,8,16,0.0132,polar8_cal,polar,20000,480000,0.7778,0.7799,0.7779,0.1505,0.6220,0.2424,0.5111
ddim,0,8,16,0.0132,knn,knn,50000,1200000,0.6230,0.6244,0.6340,0.0752,0.5141,0.1313,0.3779
ddim,0,8,16,0.0132,altered_knn,altered_knn,50000,800000,0.6278,0.6311,0.6767,0.0269,0.3775,0.0502,0.3407
ddim,0,8,16,0.0132,quadratic,quadratic,50000,1200000,0.7582,0.7598,0.7580,0.1439,0.6355,0.2347,0.4973
ddim,0,8,16,0.0132,quadratic_cal,quadratic,50000,1200000,0.7614,0.7632,0.7591,0.1560,0.6222,0.2495,0.5063
ddim,0,8,16,0.0132,polar8,polar,50000,1200000,0.7792,0.7813,0.7784,0.1572,0.6175,0.2506,0.5160
ddim,0,8,16,0.0132,polar8_cal,polar,50000,1200000,0.7781,0.7802,0.7782,0.1512,0.6222,0.2433,0.5118
ddim,0,8,16,0.0132,knn,knn,100000,2400000,0.6392,0.6407,0.6491,0.0821,0.5320,0.1423,0.3915
ddim,0,8,16,0.0132,altered_knn,altered_knn,100000,1600000,0.6670,0.6725,0.6907,0.0300,0.2542,0.0537,0.3631
ddim,0,8,16,0.0132,quadratic,quadratic,100000,2400000,0.7560,0.7576,0.7596,0.1274,0.6427,0.2126,0.4851
ddim,0,8,16,0.0132,quadratic_cal,quadratic,100000,2400000,0.7637,0.7658,0.7619,0.1523,0.6063,0.2434,0.5046
ddim,0,8,16,0.0132,polar8,polar,100000,2400000,0.7795,0.7817,0.7785,0.1582,0.6168,0.2518,0.5167
ddim,0,8,16,0.0132,polar8_cal,polar,100000,2400000,0.7784,0.7805,0.7784,0.1515,0.6203,0.2435,0.5120
ddim,0,16,2,0.0109,knn,knn,20000,60000,0.8161,0.8227,0.8294,0.0802,0.2220,0.1179,0.4703
ddim,0,16,2,0.0109,altered_knn,altered_knn,20000,40000,0.5081,0.5061,0.6884,0.0154,0.6934,0.0301,0.2681
ddim,0,16,2,0.0109,quadratic,quadratic,20000,60000,0.3662,0.3593,0.5186,0.0182,0.9908,0.0357,0.1975
ddim,0,16,2,0.0109,quadratic_cal,quadratic,20000,60000,0.3235,0.3162,0.4752,0.0167,0.9908,0.0329,0.1745
ddim,0,16,2,0.0109,polar8,polar,20000,60000,0.3848,0.3781,0.5463,0.0183,0.9977,0.0359,0.2070
ddim,0,16,2,0.0109,polar8_cal,polar,20000,60000,0.3372,0.3299,0.4993,0.0167,0.9977,0.0329,0.1814
ddim,0,16,2,0.0109,knn,knn,50000,150000,0.8128,0.8181,0.8290,0.0918,0.3341,0.1441,0.4811
ddim,0,16,2,0.0109,altered_knn,altered_knn,50000,100000,0.5155,0.5137,0.6941,0.0154,0.6773,0.0301,0.2719
ddim,0,16,2,0.0109,quadratic,quadratic,50000,150000,0.3672,0.3603,0.5193,0.0182,0.9908,0.0358,0.1980
