sampler,d,K,hall_gt,model,arch,n_per_mode,n_anchors,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
flow,8,16,0.0299,knn,knn,50000,1200000,0.6369,0.6502,0.6519,0.1789,0.2070,0.1920,0.4211
flow,8,16,0.0299,altered_knn,altered_knn,50000,800000,0.7903,0.8109,0.8132,0.1034,0.1235,0.1125,0.4617
flow,8,16,0.0299,polar3,polar,50000,1200000,0.9113,0.9312,0.9231,0.5993,0.2671,0.3695,0.6504
flow,8,16,0.0299,knn,knn,100000,2400000,0.6589,0.6730,0.6737,0.1961,0.2037,0.1998,0.4364
flow,8,16,0.0299,altered_knn,altered_knn,100000,1600000,0.7973,0.8181,0.8234,0.0881,0.1252,0.1034,0.4607
flow,8,16,0.0299,polar3,polar,100000,2400000,0.9114,0.9312,0.9233,0.5934,0.2705,0.3716,0.6514
flow,8,32,0.0249,knn,knn,2000,96000,0.4814,0.4866,0.5059,0.0683,0.2786,0.1097,0.2981
flow,8,32,0.0249,altered_knn,altered_knn,2000,64000,0.7211,0.7356,0.7469,0.0697,0.1543,0.0961,0.4158
flow,8,32,0.0249,polar3,polar,2000,96000,0.8926,0.9079,0.9051,0.3740,0.2946,0.3296,0.6187
flow,8,32,0.0249,knn,knn,5000,240000,0.5184,0.5248,0.5417,0.0757,0.2665,0.1179,0.3214
flow,8,32,0.0249,altered_knn,altered_knn,5000,160000,0.7400,0.7562,0.7603,0.0752,0.1082,0.0887,0.4225
flow,8,32,0.0249,polar3,polar,5000,240000,0.8960,0.9111,0.9081,0.3943,0.3066,0.3450,0.6281
