process,d,K,T_train,hall_gt,T,n_anchors,roundtrip_acc,model,arch,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
flow,32,2,150,0.0153,550,1500,0.9960,kernel,kernel,0.8997,0.9137,0.9066,0.0000,0.0000,0.0000,0.4568
flow,32,2,150,0.0153,550,1500,0.9960,linear,linear,0.6944,0.7004,0.8142,0.0164,0.3105,0.0311,0.3658
flow,32,2,150,0.0153,550,1500,0.9960,quadratic,quadratic,0.7445,0.7514,0.7933,0.0390,0.3039,0.0692,0.4103
flow,32,2,150,0.0153,550,1500,0.9960,polar2,polar,0.9158,0.9269,0.9218,0.6813,0.2026,0.3123,0.6196
flow,32,2,150,0.0153,550,1500,0.9960,polar3,polar,0.9252,0.9367,0.9313,0.7215,0.1863,0.2961,0.6164
flow,32,2,150,0.0153,550,1500,0.9960,polar8,polar,0.9139,0.9275,0.9210,0.4333,0.0425,0.0774,0.5024
flow,32,2,150,0.0153,550,1500,0.9960,mlp,mlp,0.9433,0.9558,0.9496,0.8269,0.1405,0.2402,0.5980
flow,32,4,150,0.0177,550,3000,0.9920,analytic,analytic,0.9372,0.9469,0.9422,0.8304,0.4000,0.5399,0.7434
flow,32,4,150,0.0177,550,3000,0.9920,knn,knn,0.5289,0.5385,0.5343,0.0769,0.0028,0.0054,0.2719
flow,32,4,150,0.0177,550,3000,0.9920,altered_knn,altered_knn,0.7322,0.7440,0.7525,0.0343,0.0789,0.0478,0.3959
flow,32,4,150,0.0177,550,3000,0.9920,kernel,kernel,0.1319,0.1188,0.2118,0.0173,0.8592,0.0340,0.0764
flow,32,4,150,0.0177,550,3000,0.9920,linear,linear,0.4262,0.4244,0.5905,0.0165,0.5268,0.0320,0.2282
flow,32,4,150,0.0177,550,3000,0.9920,quadratic,quadratic,0.7791,0.7900,0.7920,0.1343,0.1775,0.1529,0.4714
flow,32,4,150,0.0177,550,3000,0.9920,polar2,polar,0.8772,0.8895,0.8832,0.6893,0.2000,0.3100,0.5998
flow,32,4,150,0.0177,550,3000,0.9920,polar3,polar,0.8816,0.8941,0.8879,0.7263,0.1944,0.3067,0.6004
flow,32,4,150,0.0177,550,3000,0.9920,polar8,polar,0.8643,0.8778,0.8707,0.7241,0.1183,0.2034,0.5406
flow,32,4,150,0.0177,550,3000,0.9920,mlp,mlp,0.9077,0.9218,0.9146,0.7759,0.1268,0.2179,0.5699
flow,32,8,150,0.0217,550,6000,0.9925,analytic,analytic,0.9284,0.9421,0.9355,0.8599,0.3111,0.4569,0.6995
flow,32,8,150,0.0217,550,6000,0.9925,knn,knn,0.3973,0.4059,0.4015,0.0581,0.0115,0.0192,0.2125
flow,32,8,150,0.0217,550,6000,0.9925,altered_knn,altered_knn,0.6352,0.6416,0.6942,0.0439,0.3456,0.0779,0.3598
flow,32,8,150,0.0217,550,6000,0.9925,kernel,kernel,0.0217,0.0000,0.0000,0.0217,1.0000,0.0425,0.0212
flow,32,8,150,0.0217,550,6000,0.9925,linear,linear,0.2687,0.2593,0.4074,0.0205,0.6935,0.0398,0.1496
flow,32,8,150,0.0217,550,6000,0.9925,quadratic,quadratic,0.7488,0.7621,0.7578,0.2783,0.1475,0.1928,0.4775
flow,32,8,150,0.0217,550,6000,0.9925,polar2,polar,0.8337,0.8473,0.8435,0.3692,0.2212,0.2767,0.5620
flow,32,8,150,0.0217,550,6000,0.9925,polar3,polar,0.8422,0.8564,0.8489,0.7311,0.2005,0.3146,0.5855
flow,32,8,150,0.0217,550,6000,0.9925,polar8,polar,0.8066,0.8214,0.8143,0.6593,0.1382,0.2286,0.5250
flow,32,8,150,0.0217,550,6000,0.9925,mlp,mlp,0.8397,0.8568,0.8483,0.6889,0.0714,0.1294,0.4931
flow,32,16,150,0.0318,550,12000,0.9923,analytic,analytic,0.8614,0.8825,0.8716,0.8343,0.2214,0.3499,0.6162
flow,32,16,150,0.0318,550,12000,0.9923,knn,knn,0.2928,0.3018,0.2944,0.0570,0.0173,0.0265,0.1642
flow,32,16,150,0.0318,550,12000,0.9923,altered_knn,altered_knn,0.6198,0.6338,0.6516,0.0734,0.1962,0.1068,0.3703
flow,32,16,150,0.0318,550,12000,0.9923,kernel,kernel,0.0318,0.0000,0.0000,0.0319,1.0000,0.0617,0.0309
flow,32,16,150,0.0318,550,12000,0.9923,linear,linear,0.1841,0.1653,0.2819,0.0292,0.7567,0.0561,0.1107
flow,32,16,150,0.0318,550,12000,0.9923,quadratic,quadratic,0.7104,0.7308,0.7216,0.3694,0.0911,0.1461,0.4385
flow,32,16,150,0.0318,550,12000,0.9923,polar2,polar,0.7856,0.8057,0.7991,0.3294,0.1743,0.2279,0.5168
flow,32,16,150,0.0318,550,12000,0.9923,polar3,polar,0.7965,0.8176,0.8064,0.8049,0.1554,0.2605,0.5391
flow,32,16,150,0.0318,550,12000,0.9923,polar8,polar,0.7535,0.7730,0.7622,0.7969,0.1601,0.2667,0.5198
flow,32,16,150,0.0318,550,12000,0.9923,mlp,mlp,0.7719,0.7955,0.7833,0.6939,0.0534,0.0991,0.4473
