sampler,d,K,n_seeds,hall_gt,hall_gt_std,model,arch,n_per_mode,n_anchors,full_acc,full_acc_std,mode_acc,mode_acc_std,mode_f1,mode_f1_std,hall_prec,hall_prec_std,hall_rec,hall_rec_std,hall_f1,hall_f1_std,balanced,balanced_std
ddim,8,2,3,0.0108,0.0002,knn,knn,10000,30000,0.8450,0.0035,0.8535,0.0035,0.8489,0.0036,0.6879,0.0285,0.0712,0.0021,0.1290,0.0037,0.4912,0.0017
ddim,8,2,3,0.0108,0.0002,altered_knn,altered_knn,10000,20000,0.7775,0.0788,0.7811,0.0816,0.8653,0.0417,0.0250,0.0038,0.4475,0.1791,0.0461,0.0046,0.4136,0.0431
ddim,8,2,3,0.0108,0.0002,quadratic,quadratic,10000,30000,0.9885,0.0006,0.9940,0.0007,0.9914,0.0006,0.9233,0.0214,0.4796,0.0057,0.6311,0.0028,0.8126,0.0017
ddim,8,2,3,0.0108,0.0002,polar3,polar,10000,30000,0.9935,0.0005,0.9958,0.0003,0.9952,0.0004,0.8729,0.0089,0.7797,0.0221,0.8235,0.0147,0.9097,0.0075
ddim,8,2,3,0.0108,0.0002,knn,knn,15000,45000,0.8531,0.0028,0.8615,0.0028,0.8571,0.0029,0.7620,0.0644,0.0812,0.0069,0.1467,0.0124,0.5041,0.0049
ddim,8,2,3,0.0108,0.0002,altered_knn,altered_knn,15000,30000,0.8753,0.0310,0.8824,0.0325,0.9184,0.0124,0.0292,0.0023,0.2325,0.1004,0.0507,0.0016,0.4665,0.0170
ddim,8,2,3,0.0108,0.0002,quadratic,quadratic,15000,45000,0.9885,0.0010,0.9940,0.0011,0.9915,0.0010,0.9196,0.0206,0.4840,0.0076,0.6340,0.0031,0.8140,0.0020
ddim,8,2,3,0.0108,0.0002,polar3,polar,15000,45000,0.9934,0.0004,0.9957,0.0002,0.9952,0.0003,0.8735,0.0070,0.7831,0.0224,0.8257,0.0137,0.9107,0.0070
ddim,8,2,3,0.0108,0.0002,knn,knn,20000,60000,0.8547,0.0018,0.8631,0.0018,0.8588,0.0019,0.7345,0.0384,0.0846,0.0052,0.1518,0.0092,0.5074,0.0037
ddim,8,2,3,0.0108,0.0002,altered_knn,altered_knn,20000,40000,0.8464,0.0346,0.8519,0.0362,0.9075,0.0151,0.0291,0.0032,0.3450,0.1025,0.0528,0.0034,0.4524,0.0197
ddim,8,2,3,0.0108,0.0002,quadratic,quadratic,20000,60000,0.9882,0.0011,0.9938,0.0011,0.9912,0.0011,0.9221,0.0198,0.4793,0.0067,0.6306,0.0023,0.8122,0.0016
ddim,8,2,3,0.0108,0.0002,polar3,polar,20000,60000,0.9935,0.0005,0.9958,0.0003,0.9952,0.0003,0.8727,0.0093,0.7822,0.0244,0.8248,0.0164,0.9103,0.0083
ddim,8,4,3,0.0107,0.0002,knn,knn,2000,12000,0.6917,0.0107,0.6977,0.0108,0.6971,0.0110,0.2049,0.0620,0.1382,0.0032,0.1615,0.0249,0.4296,0.0082
ddim,8,4,3,0.0107,0.0002,altered_knn,altered_knn,2000,8000,0.8136,0.0328,0.8201,0.0344,0.8519,0.0106,0.0308,0.0061,0.2163,0.1160,0.0494,0.0021,0.4347,0.0182
ddim,8,4,3,0.0107,0.0002,quadratic,quadratic,2000,12000,0.9476,0.0095,0.9520,0.0095,0.9506,0.0095,0.7179,0.0078,0.5489,0.0077,0.6221,0.0069,0.7870,0.0078
ddim,8,4,3,0.0107,0.0002,polar3,polar,2000,12000,0.9712,0.0054,0.9742,0.0055,0.9749,0.0057,0.6063,0.0373,0.6954,0.0087,0.6470,0.0179,0.8106,0.0082
ddim,8,4,3,0.0107,0.0002,knn,knn,5000,30000,0.7130,0.0099,0.7191,0.0099,0.7181,0.0096,0.2479,0.0396,0.1480,0.0011,0.1842,0.0116,0.4517,0.0053
ddim,8,4,3,0.0107,0.0002,altered_knn,altered_knn,5000,20000,0.8501,0.0060,0.8581,0.0061,0.8677,0.0036,0.0349,0.0034,0.1036,0.0187,0.0514,0.0017,0.4548,0.0039
ddim,8,4,3,0.0107,0.0002,quadratic,quadratic,5000,30000,0.9486,0.0093,0.9530,0.0093,0.9515,0.0093,0.7369,0.0058,0.5482,0.0067,0.6287,0.0062,0.7908,0.0075
