sampler,d,K,hall_gt,model,arch,n_per_mode,n_anchors,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
ddim,4,32,0.0309,polar3,polar,50000,2400000,0.8852,0.9053,0.9042,0.2709,0.2569,0.2637,0.5845
ddim,4,32,0.0309,knn,knn,100000,4800000,0.8625,0.8832,0.8812,0.2340,0.2132,0.2232,0.5532
ddim,4,32,0.0309,altered_knn,altered_knn,100000,3200000,0.8646,0.8894,0.8824,0.1641,0.0872,0.1139,0.5017
ddim,4,32,0.0309,polar3,polar,100000,4800000,0.8862,0.9067,0.9049,0.2724,0.2456,0.2583,0.5825
ddim,8,2,0.2001,knn,knn,2000,6000,0.6950,0.8528,0.7636,0.9278,0.0642,0.1201,0.4865
ddim,8,2,0.2001,altered_knn,altered_knn,2000,4000,0.7114,0.7881,0.8088,0.3367,0.4052,0.3678,0.5779
ddim,8,2,0.2001,polar3,polar,2000,6000,0.8781,0.9890,0.9242,0.9898,0.4352,0.6045,0.7968
ddim,8,2,0.2001,knn,knn,5000,15000,0.7078,0.8669,0.7767,0.9897,0.0719,0.1341,0.5005
ddim,8,2,0.2001,altered_knn,altered_knn,5000,10000,0.7133,0.7958,0.8111,0.3341,0.3837,0.3572,0.5765
ddim,8,2,0.2001,polar3,polar,5000,15000,0.8784,0.9889,0.9241,0.9932,0.4369,0.6069,0.7979
ddim,8,2,0.2001,knn,knn,10000,30000,0.7174,0.8792,0.7878,0.9760,0.0712,0.1327,0.5059
ddim,8,2,0.2001,altered_knn,altered_knn,10000,20000,0.7290,0.8178,0.8226,0.3581,0.3745,0.3661,0.5919
ddim,8,2,0.2001,polar3,polar,10000,30000,0.8781,0.9890,0.9239,0.9960,0.4352,0.6057,0.7974
ddim,8,2,0.2001,knn,knn,20000,60000,0.7269,0.8877,0.7966,0.9797,0.0844,0.1555,0.5216
ddim,8,2,0.2001,altered_knn,altered_knn,20000,40000,0.6907,0.7298,0.7895,0.3334,0.5346,0.4107,0.5702
ddim,8,2,0.2001,polar3,polar,20000,60000,0.8782,0.9892,0.9240,0.9960,0.4344,0.6050,0.7971
ddim,8,2,0.2001,knn,knn,50000,150000,0.7405,0.8981,0.8083,0.9888,0.1107,0.1991,0.5486
ddim,8,2,0.2001,altered_knn,altered_knn,50000,100000,0.7468,0.8516,0.8390,0.3730,0.3280,0.3491,0.6003
ddim,8,2,0.2001,polar3,polar,50000,150000,0.8783,0.9892,0.9240,0.9960,0.4352,0.6057,0.7974
ddim,8,2,0.2001,knn,knn,100000,300000,0.7455,0.9027,0.8130,0.9979,0.1172,0.2097,0.5562
