sampler,seed,d,K,hall_gt,model,arch,n_per_mode,n_anchors,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
ddim,200,2,4,0.0111,quadratic_cal,quadratic,100000,600000,0.9120,0.9190,0.9176,0.3116,0.2814,0.2957,0.6074
ddim,200,2,4,0.0111,polar8,polar,100000,600000,0.8962,0.9024,0.9027,0.2765,0.3424,0.3059,0.6041
ddim,200,2,4,0.0111,polar8_cal,polar,100000,600000,0.8968,0.9030,0.9029,0.3006,0.3424,0.3201,0.6116
ddim,0,2,8,0.0112,knn,knn,20000,240000,0.9627,0.9698,0.9712,0.2739,0.3383,0.3027,0.6362
ddim,0,2,8,0.0112,altered_knn,altered_knn,20000,160000,0.9586,0.9682,0.9696,0.0962,0.1191,0.1064,0.5373
ddim,0,2,8,0.0112,quadratic,quadratic,20000,240000,0.8274,0.8310,0.8898,0.0401,0.5109,0.0743,0.4526
ddim,0,2,8,0.0112,quadratic_cal,quadratic,20000,240000,0.9273,0.9352,0.9342,0.2797,0.2265,0.2503,0.5928
ddim,0,2,8,0.0112,polar8,polar,20000,240000,0.9623,0.9693,0.9711,0.2679,0.3517,0.3041,0.6367
ddim,0,2,8,0.0112,polar8_cal,polar,20000,240000,0.9649,0.9724,0.9714,0.3884,0.3100,0.3448,0.6586
ddim,0,2,8,0.0112,knn,knn,50000,600000,0.9641,0.9714,0.9714,0.3309,0.3250,0.3279,0.6497
ddim,0,2,8,0.0112,altered_knn,altered_knn,50000,400000,0.9611,0.9711,0.9700,0.0971,0.0757,0.0851,0.5281
ddim,0,2,8,0.0112,quadratic,quadratic,50000,600000,0.8692,0.8736,0.9190,0.0502,0.4891,0.0911,0.4823
ddim,0,2,8,0.0112,quadratic_cal,quadratic,50000,600000,0.9495,0.9573,0.9575,0.2575,0.2577,0.2576,0.6074
ddim,0,2,8,0.0112,polar8,polar,50000,600000,0.9635,0.9707,0.9713,0.3058,0.3317,0.3182,0.6445
ddim,0,2,8,0.0112,polar8_cal,polar,50000,600000,0.9651,0.9726,0.9715,0.3971,0.3016,0.3428,0.6577
ddim,0,2,8,0.0112,knn,knn,100000,1200000,0.9647,0.9721,0.9714,0.3660,0.3155,0.3389,0.6555
ddim,0,2,8,0.0112,altered_knn,altered_knn,100000,800000,0.9620,0.9723,0.9702,0.0984,0.0590,0.0738,0.5230
ddim,0,2,8,0.0112,quadratic,quadratic,100000,1200000,0.8929,0.8976,0.9341,0.0610,0.4814,0.1082,0.5029
ddim,0,2,8,0.0112,quadratic_cal,quadratic,100000,1200000,0.9581,0.9658,0.9656,0.2962,0.2799,0.2878,0.6268
ddim,0,2,8,0.0112,polar8,polar,100000,1200000,0.9641,0.9713,0.9714,0.3303,0.3239,0.3271,0.6492
ddim,0,2,8,0.0112,polar8_cal,polar,100000,1200000,0.9650,0.9725,0.9714,0.3881,0.3061,0.3423,0.6574
ddim,100,2,8,0.0125,knn,knn,20000,240000,0.9492,0.9577,0.9586,0.2412,0.2772,0.2579,0.6078
ddim,100,2,8,0.0125,altered_knn,altered_knn,20000,160000,0.9458,0.9570,0.9571,0.0620,0.0627,0.0623,0.5097
ddim,100,2,8,0.0125,quadratic,quadratic,20000,240000,0.8188,0.8226,0.8826,0.0439,0.5198,0.0809,0.4518
ddim,100,2,8,0.0125,quadratic_cal,quadratic,20000,240000,0.9249,0.9338,0.9309,0.3811,0.2185,0.2778,0.6058
ddim,100,2,8,0.0125,polar8,polar,20000,240000,0.9491,0.9574,0.9587,0.2388,0.2867,0.2606,0.6090
ddim,100,2,8,0.0125,polar8_cal,polar,20000,240000,0.9516,0.9603,0.9586,0.3656,0.2612,0.3047,0.6325
ddim,100,2,8,0.0125,knn,knn,50000,600000,0.9507,0.9592,0.9587,0.3006,0.2747,0.2871,0.6231
ddim,100,2,8,0.0125,altered_knn,altered_knn,50000,400000,0.9492,0.9608,0.9574,0.0681,0.0291,0.0407,0.5008
ddim,100,2,8,0.0125,quadratic,quadratic,50000,600000,0.8625,0.8672,0.9121,0.0554,0.4892,0.0995,0.4833
ddim,100,2,8,0.0125,quadratic_cal,quadratic,50000,600000,0.9423,0.9513,0.9487,0.4026,0.2321,0.2944,0.6229
ddim,100,2,8,0.0125,polar8,polar,50000,600000,0.9501,0.9586,0.9588,0.2751,0.2832,0.2791,0.6188
ddim,100,2,8,0.0125,polar8_cal,polar,50000,600000,0.9518,0.9604,0.9588,0.3702,0.2682,0.3110,0.6357
ddim,100,2,8,0.0125,knn,knn,100000,1200000,0.9514,0.9600,0.9588,0.3431,0.2762,0.3060,0.6330
ddim,100,2,8,0.0125,altered_knn,altered_knn,100000,800000,0.9485,0.9600,0.9573,0.0757,0.0416,0.0537,0.5068
ddim,100,2,8,0.0125,quadratic,quadratic,100000,1200000,0.8861,0.8913,0.9267,0.0674,0.4777,0.1181,0.5047
ddim,100,2,8,0.0125,quadratic_cal,quadratic,100000,1200000,0.9501,0.9590,0.9563,0.4531,0.2496,0.3219,0.6404
ddim,100,2,8,0.0125,polar8,polar,100000,1200000,0.9506,0.9591,0.9587,0.2995,0.2807,0.2898,0.6244
ddim,100,2,8,0.0125,polar8_cal,polar,100000,1200000,0.9519,0.9605,0.9589,0.3730,0.2702,0.3134,0.6369
ddim,200,2,8,0.0118,knn,knn,20000,240000,0.9591,0.9664,0.9677,0.2854,0.3499,0.3144,0.6404
ddim,200,2,8,0.0118,altered_knn,altered_knn,20000,160000,0.9567,0.9674,0.9660,0.0840,0.0639,0.0726,0.5200
ddim,200,2,8,0.0118,quadratic,quadratic,20000,240000,0.8320,0.8356,0.8953,0.0435,0.5319,0.0804,0.4580
ddim,200,2,8,0.0118,quadratic_cal,quadratic,20000,240000,0.9340,0.9419,0.9406,0.3312,0.2770,0.3017,0.6218
ddim,200,2,8,0.0118,polar8,polar,20000,240000,0.9589,0.9662,0.9675,0.2848,0.3509,0.3144,0.6403
ddim,200,2,8,0.0118,polar8_cal,polar,20000,240000,0.9614,0.9692,0.9677,0.4167,0.3113,0.3564,0.6628
ddim,200,2,8,0.0118,knn,knn,50000,600000,0.9606,0.9682,0.9679,0.3480,0.3330,0.3403,0.6542
ddim,200,2,8,0.0118,altered_knn,altered_knn,50000,400000,0.9584,0.9695,0.9663,0.0701,0.0306,0.0426,0.5061
ddim,200,2,8,0.0118,quadratic,quadratic,50000,600000,0.8720,0.8763,0.9220,0.0552,0.5140,0.0997,0.4880
ddim,200,2,8,0.0118,quadratic_cal,quadratic,50000,600000,0.9549,0.9627,0.9618,0.3495,0.2997,0.3227,0.6427
ddim,200,2,8,0.0118,polar8,polar,50000,600000,0.9603,0.9677,0.9678,0.3356,0.3404,0.3380,0.6528
ddim,200,2,8,0.0118,polar8_cal,polar,50000,600000,0.9618,0.9695,0.9678,0.4488,0.3166,0.3713,0.6704
ddim,200,2,8,0.0118,knn,knn,100000,1200000,0.9612,0.9687,0.9679,0.3912,0.3330,0.3597,0.6642
ddim,200,2,8,0.0118,altered_knn,altered_knn,100000,800000,0.9578,0.9687,0.9663,0.0748,0.0438,0.0553,0.5120
ddim,200,2,8,0.0118,quadratic,quadratic,100000,1200000,0.8919,0.8965,0.9328,0.0669,0.5024,0.1181,0.5073
ddim,200,2,8,0.0118,quadratic_cal,quadratic,100000,1200000,0.9582,0.9659,0.9645,0.4149,0.3113,0.3557,0.6608
ddim,200,2,8,0.0118,polar8,polar,100000,1200000,0.9609,0.9683,0.9679,0.3667,0.3425,0.3542,0.6612
ddim,200,2,8,0.0118,polar8_cal,polar,100000,1200000,0.9618,0.9695,0.9679,0.4430,0.3261,0.3757,0.6726
ddim,0,4,2,0.0099,knn,knn,20000,60000,0.9421,0.9442,0.9524,0.2696,0.7337,0.3943,0.6693
ddim,0,4,2,0.0099,altered_knn,altered_knn,20000,40000,0.8451,0.8493,0.9145,0.0286,0.4347,0.0537,0.4515
ddim,0,4,2,0.0099,quadratic,quadratic,20000,60000,0.9623,0.9641,0.9775,0.2100,0.7814,0.3310,0.6476
ddim,0,4,2,0.0099,quadratic_cal,quadratic,20000,60000,0.9581,0.9598,0.9754,0.1901,0.7940,0.3068,0.6333
ddim,0,4,2,0.0099,polar8,polar,20000,60000,0.9644,0.9654,0.9813,0.2052,0.8668,0.3319,0.6486
ddim,0,4,2,0.0099,polar8_cal,polar,20000,60000,0.9642,0.9651,0.9812,0.2054,0.8744,0.3327,0.6489
ddim,0,4,2,0.0099,knn,knn,50000,150000,0.9484,0.9502,0.9601,0.2527,0.7688,0.3804,0.6653
ddim,0,4,2,0.0099,altered_knn,altered_knn,50000,100000,0.8671,0.8718,0.9278,0.0307,0.3995,0.0570,0.4644
ddim,0,4,2,0.0099,quadratic,quadratic,50000,150000,0.9626,0.9644,0.9780,0.2071,0.7814,0.3274,0.6459
ddim,0,4,2,0.0099,quadratic_cal,quadratic,50000,150000,0.9588,0.9605,0.9761,0.1890,0.7915,0.3051,0.6328
ddim,0,4,2,0.0099,polar8,polar,50000,150000,0.9642,0.9652,0.9812,0.2051,0.8693,0.3319,0.6485
ddim,0,4,2,0.0099,polar8_cal,polar,50000,150000,0.9643,0.9653,0.9812,0.2051,0.8668,0.3317,0.6485
ddim,0,4,2,0.0099,knn,knn,100000,300000,0.9533,0.9553,0.9657,0.2414,0.7588,0.3663,0.6608
ddim,0,4,2,0.0099,altered_knn,altered_knn,100000,200000,0.9012,0.9067,0.9463,0.0385,0.3593,0.0696,0.4881
ddim,0,4,2,0.0099,quadratic,quadratic,100000,300000,0.9653,0.9671,0.9805,0.2128,0.7915,0.3355,0.6513
ddim,0,4,2,0.0099,quadratic_cal,quadratic,100000,300000,0.9601,0.9617,0.9778,0.1875,0.8015,0.3040,0.6328
ddim,0,4,2,0.0099,polar8,polar,100000,300000,0.9641,0.9650,0.9811,0.2048,0.8719,0.3317,0.6484
ddim,0,4,2,0.0099,polar8_cal,polar,100000,300000,0.9642,0.9651,0.9811,0.2050,0.8693,0.3317,0.6484
ddim,100,4,2,0.0094,knn,knn,20000,60000,0.9467,0.9492,0.9541,0.3299,0.6862,0.4456,0.6974
ddim,100,4,2,0.0094,altered_knn,altered_knn,20000,40000,0.8874,0.8930,0.9372,0.0270,0.2952,0.0494,0.4712
ddim,100,4,2,0.0094,quadratic,quadratic,20000,60000,0.9736,0.9755,0.9830,0.2961,0.7686,0.4275,0.7015
ddim,100,4,2,0.0094,quadratic_cal,quadratic,20000,60000,0.9686,0.9703,0.9805,0.2494,0.7926,0.3794,0.6748
ddim,100,4,2,0.0094,polar8,polar,20000,60000,0.9791,0.9799,0.9889,0.3076,0.9016,0.4587,0.7193
ddim,100,4,2,0.0094,polar8_cal,polar,20000,60000,0.9781,0.9787,0.9885,0.2951,0.9096,0.4456,0.7122
ddim,100,4,2,0.0094,knn,knn,50000,150000,0.9554,0.9575,0.9629,0.3386,0.7394,0.4645,0.7110
ddim,100,4,2,0.0094,altered_knn,altered_knn,50000,100000,0.8280,0.8319,0.9054,0.0231,0.4176,0.0437,0.4378
ddim,100,4,2,0.0094,quadratic,quadratic,50000,150000,0.9748,0.9768,0.9842,0.2961,0.7686,0.4275,0.7021
ddim,100,4,2,0.0094,quadratic_cal,quadratic,50000,150000,0.9697,0.9714,0.9816,0.2483,0.7926,0.3782,0.6748
ddim,100,4,2,0.0094,polar8,polar,50000,150000,0.9789,0.9797,0.9888,0.3044,0.8963,0.4545,0.7171
ddim,100,4,2,0.0094,polar8_cal,polar,50000,150000,0.9781,0.9788,0.9885,0.2951,0.9043,0.4450,0.7119
ddim,100,4,2,0.0094,knn,knn,100000,300000,0.9623,0.9642,0.9698,0.3437,0.7633,0.4740,0.7191
ddim,100,4,2,0.0094,altered_knn,altered_knn,100000,200000,0.8934,0.8989,0.9425,0.0292,0.3138,0.0535,0.4762
ddim,100,4,2,0.0094,quadratic,quadratic,100000,300000,0.9781,0.9800,0.9872,0.3068,0.7793,0.4403,0.7101
ddim,100,4,2,0.0094,quadratic_cal,quadratic,100000,300000,0.9722,0.9739,0.9842,0.2494,0.8005,0.3803,0.6771
ddim,100,4,2,0.0094,polar8,polar,100000,300000,0.9787,0.9795,0.9887,0.3026,0.8989,0.4528,0.7161
ddim,100,4,2,0.0094,polar8_cal,polar,100000,300000,0.9786,0.9794,0.9886,0.3015,0.8989,0.4516,0.7155
ddim,200,4,2,0.0089,knn,knn,20000,60000,0.9483,0.9509,0.9550,0.3401,0.6583,0.4485,0.6997
ddim,200,4,2,0.0089,altered_knn,altered_knn,20000,40000,0.9035,0.9097,0.9428,0.0239,0.2101,0.0429,0.4763
ddim,200,4,2,0.0089,quadratic,quadratic,20000,60000,0.9766,0.9788,0.9848,0.3124,0.7367,0.4387,0.7088
ddim,200,4,2,0.0089,quadratic_cal,quadratic,20000,60000,0.9748,0.9768,0.9839,0.2902,0.7535,0.4190,0.6979
ddim,200,4,2,0.0089,polar8,polar,20000,60000,0.9809,0.9818,0.9897,0.3201,0.8824,0.4698,0.7258
ddim,200,4,2,0.0089,polar8_cal,polar,20000,60000,0.9806,0.9814,0.9895,0.3151,0.8880,0.4652,0.7233
